# salience_rank	word	lift_rank	zipf	salience	lift	tf	idf	z_eff
# salience = 100 * sqrt(tf * idf); tf = norm(log10 modelled lift), idf = norm(8 - z_eff)
# z_eff = zipf, minus 1.5 if hyphenated, floored at 0.8 when wordfreq does not know the word
# scan.sh reads columns 1, 2 and 5; the rest show the working
# regenerate: uv run --with wordfreq --python 3.12 tools/rescore.py
81	handed	19	4.42	43.0	16.4	0.574	0.322	4.42
82	ceiling	31	4.18	43.0	14.1	0.503	0.367	4.18
83	judged	44	3.96	43.0	12.7	0.452	0.408	3.96
84	asserts	88	3.38	42.6	10.3	0.352	0.517	3.38
85	precedent	60	3.78	42.4	11.6	0.407	0.442	3.78
86	nowhere	23	4.40	42.2	15.5	0.546	0.326	4.40
87	drifted	90	3.41	42.2	10.3	0.349	0.511	3.41
88	reaped	142	2.77	42.2	9.0	0.283	0.631	2.77
89	mattered	82	3.53	42.1	10.6	0.362	0.489	3.53
90	folds	92	3.43	41.9	10.2	0.345	0.507	3.43
91	survives	84	3.55	41.7	10.5	0.359	0.485	3.55
92	escalates	148	2.78	41.7	8.9	0.277	0.629	2.78
93	defects	68	3.77	41.6	11.2	0.389	0.444	3.77
94	inert	124	3.09	41.5	9.3	0.302	0.571	3.09
95	greps	308	0.00	41.3	7.1	0.170	1.000	0.80
96	outlives	241	1.76	41.1	7.7	0.206	0.820	1.76
97	parked	62	3.91	41.0	11.5	0.403	0.418	3.91
98	retargets	313	0.00	41.0	7.1	0.168	1.000	0.80
99	admits	61	3.94	40.8	11.5	0.405	0.412	3.94
100	contradicting	143	3.00	40.7	8.9	0.282	0.588	3.00
101	retires	118	3.29	40.6	9.5	0.309	0.534	3.29
102	unit-tested	161	4.35	40.4	8.6	0.264	0.616	2.85
103	live-verified	204	3.93	40.0	8.0	0.230	0.695	2.43
104	eleven	55	4.12	39.9	11.9	0.420	0.378	4.12
105	carrying	22	4.61	39.8	15.7	0.553	0.287	4.61
106	surviving	64	4.03	39.7	11.4	0.398	0.395	4.03
107	nobody	9	4.95	39.0	20.5	0.682	0.223	4.95
108	wedge	108	3.62	39.0	9.7	0.322	0.472	3.62
109	loud	32	4.53	38.8	14.0	0.498	0.301	4.53
110	recomputed	324	1.20	38.8	7.0	0.163	0.925	1.20
